ID,Weight,Length,Width,Height,UOM Code,Fit ratio
3359,462,300,200,10,EA,100
3372,433,300,200,10,EA,100
3457,2854,315,245,145,EA,100
3589,590,60,60,200,EA,100
3630,11,65,55,6,EA,100
3631,11,65,55,6,EA,100
3634,11,65,55,6,EA,100
3800,10,210,300,1,EA,100
3816,25,130,130,1,EA,100
3818,694,340,190,25,EA,100
3819,694,340,190,30,EA,100
3822,119,170,150,30,EA,100
3823,124,180,160,30,EA,100
3824,141,180,160,30,EA,100
3825,150,220,180,20,EA,100
3826,207,200,180,40,EA,100
3827,215,150,100,80,EA,100
3828,238,200,100,80,EA,100
3829,252,200,180,40,EA,100
3830,149,220,160,20,EA,100
3831,157,200,180,20,EA,100
3832,170,200,180,20,EA,100
3833,186,200,180,20,EA,100
3834,546,330,301,66,EA,100
3835,571,347,316,60,EA,100
3836,600,320,190,90,EA,100
3837,663,391,322,66,EA,100
3838,149,170,140,30,EA,100
3839,158,200,140,30,EA,100
3840,178,200,140,40,EA,100
3841,194,220,150,40,EA,100
3842,147,190,170,30,EA,100
3843,164,200,170,30,EA,100
3844,178,200,170,30,EA,100
3845,198,220,180,30,EA,100
3846,168,210,160,30,EA,100
3847,176,190,130,50,EA,100
3848,187,200,130,50,EA,100
3849,194,200,150,50,EA,100
3850,130,260,200,10,EA,100
3851,130,350,250,20,EA,100
3852,143,350,250,20,EA,100
3853,155,350,250,20,EA,100
3854,313,280,230,30,EA,100
3855,332,200,130,50,EA,100
3856,333,300,200,30,EA,100
3857,378,300,200,30,EA,100
3858,209,300,200,30,EA,100
3859,210,200,180,30,EA,100
3860,228,200,180,30,EA,100
3861,247,300,200,30,EA,100
3862,278,230,180,30,EA,100
3863,287,250,170,40,EA,100
3864,316,250,190,40,EA,100
3865,342,260,190,40,EA,100
3866,150,210,160,40,EA,100
3867,150,220,150,40,EA,100
3868,168,190,150,50,EA,100
3869,173,220,160,40,EA,100
3870,90,280,230,10,EA,100
3871,99,200,200,10,EA,100
3872,109,200,200,10,EA,100
3873,103,200,200,10,EA,100
3874,640,280,230,10,EA,100
3875,674,381,311,63,EA,100
3876,702,393,314,68,EA,100
3877,741,390,304,76,EA,100
3878,153,200,200,30,EA,100
3879,156,200,180,20,EA,100
3880,174,200,180,20,EA,100
3881,190,200,180,20,EA,100
3882,229,200,180,30,EA,100
3883,236,240,180,30,EA,100
3884,187,250,180,40,EA,100
3885,295,280,180,30,EA,100
3886,584,340,300,40,EA,100
3887,601,340,300,50,EA,100
3888,640,340,320,40,EA,100
3889,694,340,320,40,EA,100
3890,496,330,270,10,EA,100
3891,514,370,220,10,EA,100
3892,534,330,270,10,EA,100
3893,562,170,266,81,EA,100
3894,485,310,210,70,EA,100
3895,550,300,300,30,EA,100
3896,547,300,300,30,EA,100
3897,574,320,210,50,EA,100
3898,287,330,270,20,EA,100
3899,305,330,270,10,EA,100
3900,320,330,270,10,EA,100
3901,337,171,250,66,EA,100
3902,274,400,320,20,EA,100
3903,262,400,320,20,EA,100
3904,149,400,320,20,EA,100
3905,287,400,320,20,EA,100
3373,433,300,200,10,EA,100
3913,560,45,113,243,EA,100
3615,11,65,55,6,EA,100
3616,11,65,55,6,EA,100
3617,11,65,55,6,EA,100
3618,11,65,55,6,EA,100
3619,10,55,55,4,EA,100
3620,10,55,55,4,EA,100
3914,242,87,87,162,EA,100
3926,222,350,250,20,EA,100
3927,232,310,220,25,EA,100
4142,131,400,320,10,EA,100
4143,172,400,320,20,EA,100
4144,157,400,320,20,EA,100
4145,142,400,320,10,EA,100
4146,131,400,320,10,EA,100
4147,165,400,320,10,EA,100
4148,159,400,320,10,EA,100
4149,144,400,320,10,EA,100
4150,131,400,320,10,EA,100
4151,170,400,320,10,EA,100
4152,156,400,320,10,EA,100
4153,144,400,320,10,EA,100
4154,135,400,320,10,EA,100
4155,170,400,320,10,EA,100
4156,460,400,320,20,EA,100
4157,401,400,320,30,EA,100
4158,375,400,320,30,EA,100
4159,472,400,320,30,EA,100
4160,413,400,320,40,EA,100
4161,381,400,320,40,EA,100
4162,368,400,320,20,EA,100
4163,443,400,320,40,EA,100
4164,460,400,320,30,EA,100
4165,418,400,320,30,EA,100
4166,389,400,320,30,EA,100
4167,471,400,320,40,EA,100
4168,437,400,320,40,EA,100
4169,407,400,320,30,EA,100
4170,375,400,320,20,EA,100
4171,424,400,320,40,EA,100
4172,369,400,320,30,EA,100
4173,365,400,320,30,EA,100
4174,340,400,320,30,EA,100
4175,400,400,320,30,EA,100
4176,388,400,320,20,EA,100
4177,355,400,320,20,EA,100
4178,346,400,320,20,EA,100
4179,402,202,319,55,EA,100
4180,433,54,144,149,EA,100
4181,437,50,140,150,EA,100
4182,10,210,300,1,EA,100
4183,10,210,300,1,EA,100
4184,10,210,300,1,EA,100
4186,10,210,300,1,EA,100
4187,10,210,300,1,EA,100
4188,10,210,300,1,EA,100
4189,10,210,300,1,EA,100
4190,2927,315,240,145,EA,100
4191,756,180,85,180,EA,100
4192,2300,315,240,145,EA,100
4193,2305,315,240,145,EA,100
4194,2332,315,240,145,EA,100
4195,2279,315,240,145,EA,100
4196,2185,315,240,145,EA,100
4197,2128,315,240,145,EA,100
4198,1742,315,240,145,EA,100
4199,1712,315,240,145,EA,100
4200,2298,315,240,145,EA,100
4201,1689,315,240,145,EA,100
4202,2296,315,240,145,EA,100
4203,2229,315,240,145,EA,100
4204,2242,315,240,145,EA,100
4205,2300,315,240,145,EA,100
4206,1169,405,227,100,EA,100
4207,1990,315,240,145,EA,100
4208,2246,315,240,145,EA,100
4209,1734,315,240,145,EA,100
4210,2270,315,240,145,EA,100
4211,2290,315,240,145,EA,100
4212,2182,315,240,145,EA,100
4213,2272,315,240,145,EA,100
4214,2268,315,240,145,EA,100
4215,271,300,270,20,EA,100
4216,258,300,270,20,EA,100
4217,235,300,270,20,EA,100
4218,288,300,270,20,EA,100
3381,15,300,240,3,EA,100
3385,15,300,240,3,EA,100
3492,200,300,200,10,EA,100
3494,478,300,200,10,EA,100
3500,340,280,220,14,EA,100
3501,198,280,220,5,EA,100
3503,740,280,220,14,EA,100
3504,740,280,220,14,EA,100
3507,807,300,210,20,EA,100
3508,186,60,60,106,EA,100
3509,132,50,50,90,EA,100
3510,74,54,54,96,EA,100
3511,132,50,50,90,EA,100
3512,640,100,100,192,EA,100
3513,74,54,54,96,EA,100
3514,640,100,100,192,EA,100
3515,74,54,54,96,EA,100
3516,314,100,100,120,EA,100
3928,252,350,235,25,EA,100
3518,186,60,60,106,EA,100
3519,640,100,100,192,EA,100
3520,186,60,60,106,EA,100
3521,640,100,100,192,EA,100
3522,2435,315,245,145,EA,99
3576,276,50,50,210,EA,100
3581,17,150,150,1,EA,100
3586,17,150,150,1,EA,100
3637,2642,315,245,145,EA,100
3929,257,350,250,20,EA,100
3931,643,100,100,192,EA,100
4247,10,60,55,6,EA,100
4250,10,210,150,2,EA,100
4251,8,210,99,1,EA,100
4252,10,210,150,2,EA,100
4253,10,210,150,2,EA,100
4254,10,210,150,2,EA,100
4255,10,210,150,2,EA,100
4256,10,210,150,2,EA,100
4257,10,210,150,2,EA,100
4258,10,210,150,2,EA,100
4259,8,210,99,1,EA,100
4260,8,210,99,1,EA,100
4261,8,210,99,1,EA,100
4262,645,100,100,190,EA,100
4263,642,100,100,192,EA,100
4264,642,100,100,192,EA,100
4265,642,100,100,192,EA,100
4266,642,100,100,192,EA,100
4267,633,100,100,192,EA,100
4269,202,250,110,115,EA,100
4271,1,90,60,1,EA,100
4272,677,100,100,190,EA,100
4273,677,100,100,190,EA,100
4274,677,100,100,190,EA,100
4275,677,100,100,190,EA,100
4276,677,100,100,190,EA,100
4277,677,100,100,190,EA,100
4278,4,290,180,1,EA,100
4279,120,300,230,10,EA,100
4280,133,290,230,10,EA,100
4281,154,163,243,38,EA,100
4282,160,350,245,20,EA,100
4283,100,300,230,10,EA,100
4284,100,330,240,10,EA,100
4285,112,340,240,10,EA,100
4286,120,350,240,10,EA,100
4287,125,290,210,20,EA,100
4288,124,210,150,3,EA,100
4289,17,297,210,1,EA,100
4290,17,297,210,1,EA,100
4291,20,80,40,1,EA,100
4292,20,80,40,1,EA,100
4293,20,80,40,1,EA,100
4294,20,80,40,1,EA,100
4295,5,310,235,1,EA,100
4296,5,300,210,1,EA,100
4297,12,30,25,5,EA,100
4298,8,100,100,10,EA,100
4299,907,280,215,15,EA,100
4300,123,190,210,1,EA,100
4301,278,280,205,30,EA,100
4302,15,45,20,1,EA,100
4303,190,210,150,5,EA,100
4304,248,280,205,30,EA,100
4305,1493,360,290,100,EA,100
3379,15,300,240,3,EA,100
3380,15,300,240,3,EA,100
3382,15,300,240,3,EA,100
3383,15,300,240,3,EA,100
3384,15,300,240,3,EA,100
3495,526,300,200,10,EA,100
3454,66,65,37,121,EA,100
3458,2887,315,245,145,EA,100
3493,486,300,200,10,EA,100
3496,345,300,200,10,EA,100
3497,358,300,200,10,EA,100
3498,405,300,200,10,EA,100
3499,431,300,200,10,EA,100
3524,310,50,50,160,EA,100
3526,74,54,54,96,EA,100
3527,640,100,100,192,EA,100
